features_id,bedrooms,squareFootage,features,bathrooms,lotSize
0,3.0,1602.0,"{'architectureType': 'Two Family', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick / Stone', 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'roofType': 'Gravel', 'unitCount': 2}",2.0,2023.0
1,3.0,1480.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asbestos'}",0.0,9675.0
2,3.0,1813.0,unknown,2.5,0.0
3,0.0,0.0,{},0.0,0.0
4,2.0,2467.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Combination', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Baseboard', 'roomCount': 5, 'unitCount': 1, 'foundationType': 'Raised'}",2.5,0.0
5,3.0,1618.0,unknown,2.0,0.0
6,3.0,1400.0,"{'architectureType': 'Traditional', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Stone', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",1.0,21780.0
7,2.0,0.0,unknown,1.0,0.0
8,2.0,689.0,"{'heating': True, 'heatingType': 'Hot Water / Steam', 'unitCount': 1}",1.0,0.0
9,0.0,2569.0,"{'cooling': True, 'coolingType': 'Refrigeration', 'exteriorType': 'Wood', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Other', 'roomCount': 9, 'unitCount': 1}",3.0,7688.0
10,4.0,3189.0,"{'architectureType': 'Contemporary', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roomCount': 9}",2.5,22216.0
11,3.0,1076.0,"{'architectureType': 'Split Level', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'OTHER', 'fireplace': True, 'floorCount': 2, 'foundationType': 'OTHER', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'roomCount': 6}",2.0,7405.0
12,1.0,700.0,unknown,1.0,4375.0
