location_id,addressLine1,city,state,zipCode,formattedAddress,county,longitude,latitude,addressLine2
0,3500 W Walnut St,Chicago,IL,60624,"3500 W Walnut St, Chicago, IL 60624",Cook,-87.713706,41.885704,unknown
1,1852 Eisenhower Cir,Aberdeen,SD,57401,"1852 Eisenhower Cir, Aberdeen, SD 57401",Brown,-98.48974,45.441667,unknown
2,17040 Villa Glen Dr,Los Gatos,CA,95033,"17040 Villa Glen Dr, Los Gatos, CA 95033",Santa Cruz County,-121.984103,37.111477,unknown
3,889 N Notre Dame Ave,South Bend,IN,46617,"889 N Notre Dame Ave, South Bend, IN 46617",St Joseph,-86.238013,41.686967,unknown
4,8352 Dolman Dr,Powell,OH,43065,"8352 Dolman Dr, Powell, OH 43065",Delaware,-83.098626,40.180963,unknown
5,14894 36th Avenue Ct E,Tacoma,WA,98446,"14894 36th Avenue Ct E, Unit 7, Tacoma, WA 98446",Pierce County,-122.381035,47.122171,Unit 7
6,1333 Cypress Lakes Rd,Hope Mills,NC,28348,"1333 Cypress Lakes Rd, Hope Mills, NC 28348",Cumberland,-78.891236,34.931005,unknown
7,314 W Mission St,Santa Barbara,CA,93101,"314 W Mission St, Santa Barbara, CA 93101",Santa Barbara,-119.718659,34.427418,unknown
8,40 Fitchburg Rd,Townsend,MA,1469,"40 Fitchburg Rd, Apt 328, Townsend, MA 01469",Middlesex,-71.713033,42.659835,Apt 328
9,1341 N Congress Dr,Chandler,AZ,85226,"1341 N Congress Dr, Chandler, AZ 85226",Maricopa,-111.897656,33.326287,unknown
10,58 Limerick Ln,Magnolia,DE,19962,"58 Limerick Ln, Magnolia, DE 19962",Kent,-75.509753,39.056612,unknown
11,10909 N Campbell St,Kansas City,MO,64155,"10909 N Campbell St, Kansas City, MO 64155",Clay,-94.56885,39.291428,unknown
12,1337 N Fiddlesticks Pl,Fayetteville,AR,72703,"1337 N Fiddlesticks Pl, Apt 7, Fayetteville, AR 72703",Washington,-94.194973,36.081061,Apt 7
13,8903 S Hermitage Ave,Chicago,IL,60620,"8903 S Hermitage Ave, Unit 2, Chicago, IL 60620",Cook,-87.666248,41.731882,Unit 2
14,7113 Lancashire Dr,Mint Hill,NC,28227,"7113 Lancashire Dr, Mint Hill, NC 28227",Mecklenburg,-80.675976,35.196628,unknown
15,141 Pheasant Dr,Columbia,PA,17512,"141 Pheasant Dr, Columbia, PA 17512",Lancaster County,-76.482839,40.037977,unknown
16,712 S Burdick St,Kalamazoo,MI,49007,"712 S Burdick St, Apt 3, Kalamazoo, MI 49007",Kalamazoo,-85.582954,42.284567,Apt 3
17,5047 N Hwy,Hutchinson Island,FL,34949,"5047 N Hwy, A1A Apt 1701, Hutchinson Island, FL 34949",Saint Lucie,-80.264733,27.397465,A1A Apt 1701
18,209 Picadilly Pl,Canton,GA,30114,"209 Picadilly Pl, Canton, GA 30114",Cherokee,-84.526919,34.176581,unknown
19,100 Mckinley Dr,New Britain,CT,6053,"100 Mckinley Dr, New Britain, CT 06053",Hartford,-72.793913,41.691597,unknown
20,604 Sutter St,Folsom,CA,95630,"604 Sutter St, Ste 270, Folsom, CA 95630",Sacramento,-121.175554,38.678625,Ste 270
21,8155 E Fairmount Dr,Denver,CO,80230,"8155 E Fairmount Dr, Unit 628, Denver, CO 80230",Denver,-104.892008,39.713301,Unit 628
22,121 Kingston Ave,Louisville,KY,40214,"121 Kingston Ave, Apt 3, Louisville, KY 40214",Jefferson,-85.762012,38.173835,Apt 3
23,816 Willow Ave,Hoboken,NJ,7030,"816 Willow Ave, Apt 2L, Hoboken, NJ 07030",Hudson,-74.031783,40.747498,Apt 2L
24,10160 Indian Princess Rd W,Jacksonville,FL,32257,"10160 Indian Princess Rd W, Jacksonville, FL 32257",Duval,-81.620254,30.192699,unknown
25,16401 Golf Club Rd,Weston,FL,33326,"16401 Golf Club Rd, Apt 102, Weston, FL 33326",Broward,-80.369909,26.117705,Apt 102
26,134 Magnolia St,Reidville,SC,29375,"134 Magnolia St, Reidville, SC 29375",Spartanburg,-81.750406,34.912458,unknown
27,502 Concha Dr,Sebastian,FL,32958,"502 Concha Dr, Sebastian, FL 32958",Indian River,-80.482435,27.760963,unknown
28,1006 N Roselawn Dr,West Memphis,AR,72301,"1006 N Roselawn Dr, West Memphis, AR 72301",Crittenden,-90.208305,35.160178,unknown
29,965 Hicksville Rd,Massapequa,NY,11758,"965 Hicksville Rd, Massapequa, NY 11758",Nassau,-73.477256,40.68846,unknown
30,1730 Arborwood Dr,Grayson,GA,30017,"1730 Arborwood Dr, Grayson, GA 30017",Gwinnett,-83.985604,33.85946,unknown
31,26363 Mcdonald St,Dearborn Heights,MI,48125,"26363 Mcdonald St, Dearborn Heights, MI 48125",Wayne,-83.297527,42.274543,unknown
32,Birch Cir,Danville,VA,24540,"Birch Cir, Lot 93, Danville, VA 24540",Pittsylvania County,-79.40767766,36.634835709,Lot 93
33,148 Hawthorn St,Massapequa Park,NY,11762,"148 Hawthorn St, Massapequa Park, NY 11762",Nassau,-73.451379,40.690246,unknown
34,40 N Port Royal Dr,Hilton Head Island,SC,29928,"40 N Port Royal Dr, Hilton Head Island, SC 29928",Beaufort,-80.674937,32.228677,unknown
35,145 Lexington St,Newton,MA,2466,"145 Lexington St, Apt 15, Newton, MA 02466",Middlesex,-71.241936,42.355766,Apt 15
36,751B Riverside Ave,Elizabeth City,NC,27909,"751B Riverside Ave, Elizabeth City, NC 27909",Pasquotank,-76.213805,36.295494,unknown
37,3011 Meadow Bay Dr,Dickinson,TX,77539,"3011 Meadow Bay Dr, Dickinson, TX 77539",Galveston,-95.094041,29.457738,unknown
38,306 Yosemite St,Las Vegas,NV,89107,"306 Yosemite St, Las Vegas, NV 89107",Clark,-115.22188,36.170037,unknown
39,13443 Ashford Wood Ct W,Jacksonville,FL,32218,"13443 Ashford Wood Ct W, Jacksonville, FL 32218",Duval,-81.606459,30.479309,unknown
40,4200 N Pble Crk Pkwy,Goodyear,AZ,85395,"4200 N Pble Crk Pkwy, Apt 2033, Goodyear, AZ 85395",Maricopa,-112.402634,33.495202,Apt 2033
41,1032 Boulder Dr,Gray,GA,31032,"1032 Boulder Dr, Gray, GA 31032",Jones County,-83.547334,33.000612,unknown
42,3845 Union Hill Rd,East Bend,NC,27018,"3845 Union Hill Rd, East Bend, NC 27018",Yadkin,-80.49435,36.235066,unknown
43,3395 Eagle Nest Dr,Hernando Beach,FL,34607,"3395 Eagle Nest Dr, Hernando Beach, FL 34607",Hernando,-82.65991,28.503399,unknown
44,146 Kally Ln,Center Point,TX,78010,"146 Kally Ln, Center Point, TX 78010",Kerr,-97.592098,32.97662,unknown
45,13664 Sw 263rd Ter,Homestead,FL,33032,"13664 Sw 263rd Ter, Homestead, FL 33032",Miami-Dade,-80.412315,25.522095,unknown
46,9616 Hampton Dr,Highland,IN,46322,"9616 Hampton Dr, Apt 17, Highland, IN 46322",Lake,-87.472677,41.541745,Apt 17
47,639 Mize Cir,Seymour,TN,37865,"639 Mize Cir, Seymour, TN 37865",Blount,-83.804245,35.855297,unknown
48,2535 Sw 11th Ave,Cape Coral,FL,33914,"2535 Sw 11th Ave, Cape Coral, FL 33914",Lee,-81.99672699999999,26.604371,unknown
49,85 Little Deer Run,Hayesville,NC,28904,"85 Little Deer Run, Lot 85, Hayesville, NC 28904",Clay County,-83.748214,34.992089,Lot 85
50,66 Port Elizabeth Cumberland Rd,Port Elizabeth,NJ,8348,"66 Port Elizabeth Cumberland Rd, Port Elizabeth, NJ 08348",Cumberland County,-74.9735,39.3069,unknown
51,4902 Jordan Ave,Lehigh Acres,FL,33973,"4902 Jordan Ave, Lehigh Acres, FL 33973",Lee,-81.738631,26.60671,unknown
52,61 Tahlequah Dr,Jackson,TN,38305,"61 Tahlequah Dr, Jackson, TN 38305",Madison,-88.832506,35.694357,unknown
